,epoch,t_mean_accuracy,t_mean_brier,t_mean_entropy,t_mean_loss,v_mean_accuracy,v_mean_brier,v_mean_entropy,v_mean_loss,ov_mean_brier,ov_mean_entropy
0,0,0.12078108108108107,7.797405405405407,2.300489189189189,2.2999648648648656,0.09375555555555555,7.924933333333333,2.3004777777777776,2.3022444444444443,7.8894195556640625,1.9777331352233887
1,1,0.1249972972972973,7.752394594594597,2.3006027027027023,2.2914027027027024,0.09375555555555555,7.9247,2.3003777777777774,2.2927000000000004,8.001288414001465,1.6509884595870972
2,2,0.12330540540540542,7.927421621621626,2.3002756756756746,2.274991891891892,0.09375555555555555,7.924833333333333,2.299877777777778,2.268466666666667,8.298127174377441,0.8153913021087646
3,3,0.16808378378378377,7.90477297297297,2.2988783783783786,2.236218918918919,0.2395666666666667,7.924555555555555,2.297911111111111,2.2138222222222224,8.534562110900879,0.3094869554042816
4,4,0.356427027027027,7.79481081081081,2.2933675675675675,2.1526756756756753,0.4027777777777778,7.927033333333333,2.286322222222222,2.0974999999999997,8.637978553771973,0.11306599527597427
5,5,0.5126675675675675,7.843827027027026,2.265537837837838,1.9805243243243242,0.5659777777777778,7.934522222222221,2.2381333333333338,1.8706666666666665,8.661639213562012,0.07448392361402512
6,6,0.5945891891891891,7.842532432432431,2.166267567567568,1.7052486486486484,0.5972222222222222,7.975044444444445,2.070066666666667,1.5693777777777775,8.692450523376465,0.019120676442980766
7,7,0.6520405405405406,7.806316216216215,1.9540243243243247,1.3976243243243243,0.6944666666666667,8.038944444444445,1.8406555555555555,1.2408000000000001,8.70552921295166,0.017510253936052322
8,8,0.7069243243243245,7.8817108108108105,1.6917945945945945,1.141616216216216,0.7604222222222222,8.12201111111111,1.587411111111111,1.0233333333333334,8.703853607177734,0.01114888396114111
9,9,0.7398621621621622,8.192483783783784,1.4543135135135132,0.9718837837837837,0.8159666666666667,8.204144444444445,1.3622666666666665,0.865088888888889,8.703448295593262,0.011366835795342922
10,10,0.76942972972973,8.063875675675675,1.2729945945945942,0.8522783783783783,0.8298555555555556,8.261177777777778,1.2040333333333335,0.7683111111111111,8.704728126525879,0.0071235885843634605
11,11,0.785472972972973,8.076727027027026,1.1363783783783783,0.7717702702702703,0.8402666666666667,8.309433333333336,1.086666666666667,0.7096111111111111,8.704543113708496,0.006776922848075628
12,12,0.795608108108108,8.128151351351352,1.0344405405405404,0.7116081081081082,0.8298555555555556,8.318122222222222,1.0399222222222224,0.7082111111111112,8.70163345336914,0.004660340026021004
13,13,0.8006756756756757,8.431305405405404,0.9553297297297297,0.6786918918918919,0.8611111111111112,8.363966666666668,0.9404666666666665,0.6233777777777778,8.703608512878418,0.005691965576261282
14,14,0.8167297297297296,8.233137837837837,0.8974945945945947,0.6308,0.8645888888888889,8.39568888888889,0.8635000000000002,0.5860333333333333,8.70492935180664,0.004678116645663977
15,15,0.8251702702702703,8.384559459459458,0.8366351351351352,0.5918756756756758,0.8715,8.412033333333333,0.8282111111111111,0.5639555555555557,8.70279598236084,0.004359143320471048
16,16,0.8276945945945944,8.368708108108107,0.7970108108108109,0.5679486486486485,0.8958333333333334,8.436788888888891,0.7683222222222222,0.5270111111111111,8.703389167785645,0.0037760690320283175
17,17,0.8361405405405404,8.37384054054054,0.7490108108108109,0.5366108108108106,0.8888888888888888,8.453177777777777,0.7340222222222222,0.5124888888888889,8.70421314239502,0.0036964111495763063
18,18,0.8505027027027028,8.185900000000002,0.7112486486486486,0.5097,0.8819333333333333,8.473822222222223,0.6829555555555555,0.49130000000000007,8.706891059875488,0.004149061162024736
19,19,0.8581027027027026,8.421105405405404,0.6869108108108108,0.4862756756756757,0.8854000000000001,8.484333333333332,0.6581333333333333,0.4761333333333333,8.703235626220703,0.004489742685109377
